BLOCK_GEOID20,lat,lon,poverty_rate_est,Median_Income_BG,poverty_norm,need_score,prob_old,prob_new,access_change,priority_after_move,risk_of_being_worse_off
361090009002014,42.4380131,-76.5231808,4.3,118750,0.04210526316,0.0253329145,0,0.2686163455,0.2686163455,0.01852807959,0
361090022001049,42.5780612,-76.29101,3.6,58821,0.03157894737,0.01905306975,0,0.007549563208,0.007549563208,0.0189092274,0
361090022003029,42.5640881,-76.3539158,8.6,64457,0.1067669173,0.0641624713,0,0.01571057341,0.01571057341,0.06315444208,0
361090019022002,42.4018935,-76.4286033,4,97022,0.03759398496,0.02263917979,0,0.1007522835,0.1007522835,0.02035823073,0
361090010002067,42.3920843,-76.5418423,4.2,110667,0.04060150376,0.02443550695,0,0.388301987,0.388301987,0.01494715105,0
361090006001008,42.477204,-76.4971759,6.2,129256,0.07067669173,0.04246947026,0,0.1446704787,0.1446704787,0.03632539167,0
361090019022011,42.392596,-76.4179022,4,97022,0.03759398496,0.02263917979,0,0.08835854481,0.08835854481,0.02063881481,0
361090016001062,42.5134623,-76.5654865,3.2,69946,0.02556390977,0.01543737455,0,0.1416183031,0.1416183031,0.01325115976,0
361090023002055,42.5586501,-76.4715203,2.2,100688,0.01052631579,0.00639637946,0,0.04371414861,0.04371414861,0.006116767177,0
361090006002031,42.4562223,-76.4852804,19.4,113793,0.2691729323,0.1615764892,0,0.1564815626,0.1564815626,0.1362927477,0
361090013012000,42.436066,-76.4759888,15.7,93235,0.2135338346,0.128205361,0,0.1615600895,0.1615600895,0.1074924914,0
361090021001037,42.5479793,-76.2928122,10.1,86200,0.1293233083,0.07768326468,0,0.01008725085,0.01008725085,0.07689965411,0
361090002021006,42.4399699,-76.4903926,58.8,54714,0.8616541353,0.5171006459,0,0.1856935024,0.1856935024,0.4210784159,0
361090011001023,42.4178282,-76.5216396,46.4,30657,0.6751879699,0.4052353757,0,0.2969407422,0.2969407422,0.2849044825,0
361090023002067,42.5474006,-76.5272749,2.2,100688,0.01052631579,0.00639637946,0,0.0714724051,0.0714724051,0.005939214836,0
361090005003012,42.4709742,-76.4714611,8.6,77442,0.1067669173,0.06415468305,0,0.1199702398,0.1199702398,0.05645803034,0
361090022002004,42.5891321,-76.3649465,8.8,78750,0.1097744361,0.0659584098,0,0.01315815767,0.01315815767,0.06509051864,0
361090012001007,42.4192878,-76.5001629,19.3,-666666666,0.2676691729,0.5606015038,0,0.229831207,0.229831207,0.4317577835,0
361090007003020,42.4445911,-76.4979161,8.3,69397,0.1022556391,0.06145274143,0,0.1954136344,0.1954136344,0.04944403788,0
